day;weekly;monthly1;monthly3;monthly6;yearly
2024-07-01;3.641;3.655;3.709;3.678;3.567
2024-06-28;3.612;3.632;3.711;3.682;3.578
2024-06-27;3.618;3.664;3.695;3.678;3.575
2024-06-26;3.607;3.646;3.722;3.672;3.576
2024-06-25;3.616;3.642;3.698;3.671;3.578
2024-06-24;3.619;3.622;3.682;3.661;3.580
2024-06-21;3.622;3.600;3.686;3.691;3.622
2024-06-20;3.648;3.598;3.700;3.689;3.608
2024-06-19;3.590;3.608;3.712;3.695;3.613
2024-06-18;3.612;3.606;3.717;3.695;3.600
2024-06-17;3.641;3.602;3.711;3.711;3.628
2024-06-14;3.626;3.579;3.715;3.735;3.672
2024-06-13;3.615;3.599;3.719;3.743;3.678
2024-06-12;3.650;3.630;3.720;3.748;3.719
2024-06-11;3.717;3.613;3.739;3.751;3.728
2024-06-10;3.716;3.654;3.743;3.748;3.725
2024-06-07;3.794;3.679;3.759;3.735;3.701
2024-06-06;3.848;3.688;3.755;3.744;3.684
2024-06-05;3.812;3.676;3.752;3.738;3.690
2024-06-04;3.830;3.666;3.772;3.756;3.715
2024-06-03;3.828;3.690;3.782;3.755;3.722
2024-05-31;3.889;3.717;3.785;3.745;3.711
2024-05-30;3.892;3.750;3.788;3.759;3.729
2024-05-29;3.869;3.772;3.794;3.768;3.716
2024-05-28;3.879;3.764;3.785;3.749;3.722
2024-05-27;3.863;3.792;3.800;3.775;3.740
2024-05-24;3.881;3.792;3.808;3.780;3.729
2024-05-23;3.875;3.805;3.801;3.783;3.702
2024-05-22;3.893;3.797;3.819;3.784;3.670
2024-05-21;3.894;3.785;3.823;3.784;3.680
2024-05-20;3.883;3.807;3.822;3.787;3.673
2024-05-17;3.875;3.799;3.830;3.791;3.645
2024-05-16;3.885;3.817;3.826;3.795;3.650
2024-05-15;3.872;3.830;3.816;3.798;3.679
2024-05-14;3.888;3.838;3.824;3.799;3.638
2024-05-13;3.895;3.828;3.828;3.800;3.654
2024-05-10;3.892;3.856;3.818;3.789;3.629
2024-05-09;3.878;3.862;3.806;3.802;3.628
2024-05-08;3.882;3.870;3.814;3.795;3.642
2024-05-07;3.868;3.875;3.788;3.802;3.647
2024-05-06;3.886;3.852;3.824;3.791;3.658
2024-05-03;3.893;3.865;3.827;3.802;3.693
2024-05-02;3.858;3.877;3.853;3.828;3.728
2024-05-01;3.802;3.873;3.825;3.795;3.696
2024-04-30;3.802;3.873;3.825;3.795;3.696
2024-04-29;3.852;3.858;3.835;3.815;3.726
2024-04-26;3.883;3.848;3.865;3.835;3.724
2024-04-25;3.868;3.862;3.864;3.825;3.728
2024-04-24;3.851;3.852;3.879;3.833;3.701
2024-04-23;3.840;3.815;3.882;3.844;3.718
2024-04-22;3.866;3.819;3.891;3.850;3.734
2024-04-19;3.891;3.837;3.892;3.846;3.732
2024-04-18;3.865;3.855;3.897;3.843;3.731
2024-04-17;3.855;3.828;3.895;3.842;3.720
2024-04-16;3.863;3.855;3.904;3.842;3.702
2024-04-15;3.898;3.846;3.888;3.820;3.693
2024-04-12;3.880;3.836;3.923;3.865;3.748
2024-04-11;3.876;3.879;3.906;3.862;3.729
2024-04-10;3.879;3.854;3.912;3.830;3.689
2024-04-09;3.875;3.837;3.916;3.868;3.695
2024-04-08;3.888;3.877;3.902;3.846;3.673
2024-04-05;3.890;3.888;3.885;3.834;3.656
2024-04-04;3.875;3.877;3.891;3.844;3.663
2024-04-03;3.863;3.852;3.857;3.822;3.648
2024-04-02;3.870;3.855;3.883;3.842;3.664
2024-04-01;3.853;3.855;3.892;3.851;3.669
2024-03-29;3.853;3.855;3.892;3.851;3.669
